start_date,agency_name,value
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,350000.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,270000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,270000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,672933.8
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,300000.0
2010-07-14,Department of Infrastructure Transport Regional Development and Local Government,36000.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,12500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,400000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,200000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,12980.0
2010-06-29,Department of Infrastructure Transport Regional Development and Local Government,103020.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,90945.75
2010-07-06,Department of Infrastructure Transport Regional Development and Local Government,79200.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,1438104.7
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,125000.0
2010-07-20,Department of Infrastructure Transport Regional Development and Local Government,12800.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,13500.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,22500.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,22500.0
2010-06-18,Department of Infrastructure Transport Regional Development and Local Government,180000.0
2010-07-13,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,19500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-05-06,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-01-12,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,355000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,54410.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,19850.0
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,22890.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,49500.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,1050575.73
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,43168.66
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,20900.0
2010-07-06,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,65000.0
2010-07-23,Department of Infrastructure Transport Regional Development and Local Government,12500.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,129291.69
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,184150.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,295600.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-06-18,Department of Infrastructure Transport Regional Development and Local Government,21160.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,45984.0
2010-07-30,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-07-30,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-27,Department of Infrastructure Transport Regional Development and Local Government,15620.0
2010-07-27,Department of Infrastructure Transport Regional Development and Local Government,29403.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,104456.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,102660.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,60500.0
2010-07-20,Department of Infrastructure Transport Regional Development and Local Government,15463.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,440000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,79860.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,39479.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,14400.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,72700.1
2010-08-02,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-08-02,Department of Infrastructure Transport Regional Development and Local Government,13500.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-07-15,Department of Infrastructure Transport Regional Development and Local Government,230000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,43800.0
2010-07-28,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-08-10,Department of Infrastructure Transport Regional Development and Local Government,13200.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,29000.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,29000.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,24500.0
2010-08-10,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,18563.25
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,25742.39
2010-06-10,Department of Infrastructure Transport Regional Development and Local Government,22770.0
2010-08-11,Department of Infrastructure Transport Regional Development and Local Government,29400.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,79000.0
2010-08-09,Department of Infrastructure Transport Regional Development and Local Government,12505.0
2010-08-05,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,44880.0
2010-08-19,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,86480.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,20871.66
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,37123.55
2010-08-09,Department of Infrastructure Transport Regional Development and Local Government,139590.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,38527.5
2010-08-17,Department of Infrastructure Transport Regional Development and Local Government,34100.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,21600.0
2010-08-24,Department of Infrastructure Transport Regional Development and Local Government,200000.0
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,68640.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,11838.0
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-09-20,Department of Infrastructure Transport Regional Development and Local Government,20800.0
2010-08-26,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,12000.0
